WOM: Downside:0.2570889063729346970889063729M Upside:4.6648308418568056648308418568M RR:18.144815766923736075407026564M
AVAX: Downside:0.3749281196089706728004600345M Upside:4.6365727429557216791259344451M RR:12.366564417177914110429447853M
PLA: Downside:0.4192696876374835019797624285M Upside:4.6357237131544214694236691597M RR:11.05666316894018887722980063M
GALA: Downside:0.6688484352628349355696461444M Upside:4.5682143587645735324197177337M RR:6.8299694189602446483180428135M
BOSON: Downside:0.3408910103420843277645186953M Upside:4.5648369132856006364359586317M RR:13.390898483080513418903150525M
REI: Downside:0.2878228782287822878228782288M Upside:4.5571955719557195571955719557M RR:15.833333333333333333333333333M
BICO: Downside:0.2872628726287262872628726287M Upside:4.5392953929539295392953929539M RR:15.801886792452830188679245283M
KMA: Downside:0.1441176470588235294117647059M Upside:4.5294117647058823529411764706M RR:31.428571428571428571428571429M
STX: Downside:0.258064516129032258064516129M Upside:4.4874551971326164874551971326M RR:17.388888888888888888888888889M
KAVA: Downside:0.4709359605911330049261083744M Upside:4.4857142857142857142857142857M RR:9.525104602510460251046025105M
PUSH: Downside:0.2123030757689422355588897224M Upside:4.4838709677419354838709677419M RR:21.120141342756183745583038869M
NWC: Downside:0.2787269530721723842582157508M Upside:4.4696539392026927527085305564M RR:16.03595881179578413930670117M
PRE: Downside:0.3028714163553715288716863945M Upside:4.4637922498762320536477789279M RR:14.738242068504346533917824504M
GRT: Downside:0.4326315789473684210526315789M Upside:4.4589473684210526315789473684M RR:10.306569343065693430656934307M
CEEK: Downside:0.4869764864222943551579447391M Upside:4.4405826933734462829546354208M RR:9.118679889448870102422370346M
ALICE: Downside:0.3247422680412371134020618557M Upside:4.4317010309278350515463917526M RR:13.646825396825396825396825397M
FIDA: Downside:0.5025173819228002877007911772M Upside:4.4087748741309038599856149604M RR:8.773377862595419847328244275M
SENSO: Downside:0.3934371096377438262707792832M Upside:4.3929987027961948688382819256M RR:11.165694834534131151544755159M
VGX: Downside:0.6175M Upside:4.33M RR:7.012145748987854251012145749M
WAXP: Downside:0.4187675070028011204481792717M Upside:4.3193277310924369747899159664M RR:10.314381270903010033444816054M
SFUND: Downside:0.3448655982362418383786992284M Upside:4.3101840074620537607055032646M RR:12.498155888861568723875092206M
BTCST: Downside:0.119005328596802841918294849M Upside:4.2220248667850799289520426288M RR:35.477611940298507462686567164M
API3: Downside:0.3472938144329896907216494845M Upside:4.2119845360824742268041237113M RR:12.128014842300556586270871985M
AKT: Downside:0.3883780801765354909893343141M Upside:4.1691798455314453843324751747M RR:10.734848484848484848484848485M
PDEX: Downside:0.1623386370459321525067547283M Upside:4.1412488742119483638546982888M RR:25.509939898289412852519648636M
VTHO: Downside:0.2021660649819494584837545126M Upside:4.1308664259927797833935018051M RR:20.433035714285714285714285714M
DNT: Downside:0.1245901639344262295081967213M Upside:4.1278688524590163934426229508M RR:33.131578947368421052631578947M
SUKU: Downside:0.506392141030816848338043332M Upside:4.1137128246534786704346655901M RR:8.123571618389582779697050226M
FIL: Downside:0.4552672347017815646785437645M Upside:4.104570100697134004647560031M RR:9.015737983836665248830284985M
VRA: Downside:0.6533738551891248100538009775M Upside:4.0876668446342765616657768286M RR:6.2562448928279590169086680495M
CHESS: Downside:0.2621809744779582366589327146M Upside:4.0812064965197215777262180974M RR:15.566371681415929203539823009M
VXV: Downside:0.6169061707523245984784446323M Upside:4.0549450549450549450549450549M RR:6.5730337078651685393258426966M
ZEN: Downside:0.1870078740157480314960629921M Upside:4.0531496062992125984251968504M RR:21.673684210526315789473684211M
WEMIX: Downside:0.8054349573886476925550731629M Upside:4.0361794500723589001447178003M RR:5.0111798762227989618686364544M
BUX: Downside:0.0427083333333333333333333333M Upside:4.0291666666666666666666666667M RR:94.34146341463414634146341463M
FTM: Downside:0.5795228628230616302186878728M Upside:4.0064612326043737574552683897M RR:6.9133790737564322469982847341M
TOMO: Downside:0.2766921551968280940243557066M Upside:3.9561030869442084395355423393M RR:14.297850562947799385875127943M
ICX: Downside:0.3622402890695573622402890696M Upside:3.9232158988256549232158988257M RR:10.830423940149625935162094763M
ZRX: Downside:0.3376623376623376623376623377M Upside:3.9220779220779220779220779221M RR:11.615384615384615384615384615M
AKRO: Downside:0.2865329512893982808022922636M Upside:3.873925501432664756446991404M RR:13.52M
ALT: Downside:0.3027403924112210150802659316M Upside:3.8646019134100859413004702449M RR:12.765399035886448848419925013M
XVG: Downside:0.2742474916387959866220735786M Upside:3.8494983277591973244147157191M RR:14.036585365853658536585365854M
CELR: Downside:0.4092055485498108448928121059M Upside:3.844892812105926860025220681M RR:9.395993836671802773497688752M
GTC: Downside:0.2573443008225616921269095182M Upside:3.8366627497062279670975323149M RR:14.908675799086757990867579909M
RSR: Downside:0.3646511627906976744186046512M Upside:3.8116279069767441860465116279M RR:10.452806122448979591836734694M
SAND: Downside:0.485211078246840548534552299M Upside:3.8053240118311374025275611724M RR:7.842615683014685508451094486M
CMP: Downside:0.4990390775144138372837924407M Upside:3.8046124279308135810377962844M RR:7.6238767650834403080872913992M
ZBC: Downside:0.2615803814713896457765667575M Upside:3.7865576748410535876475930972M RR:14.475694444444444444444444444M
DODO: Downside:0.2454991816693944353518821604M Upside:3.7790507364975450081833060556M RR:15.393333333333333333333333333M
IRIS: Downside:0.2628398791540785498489425982M Upside:3.6966767371601208459214501511M RR:14.064367816091954022988505747M
PYR: Downside:0.315521628498727735368956743M Upside:3.6870229007633587786259541985M RR:11.685483870967741935483870968M
EGLD: Downside:0.2287796849282859158241241477M Upside:3.6750529038325887608746766988M RR:16.063720452209660842754367934M
ZEC: Downside:0.2177777777777777777777777778M Upside:3.6733333333333333333333333333M RR:16.867346938775510204081632653M
GNO: Downside:0.21875M Upside:3.66796875M RR:16.767857142857142857142857143M
NOIA: Downside:0.4908354194068479782765497051M Upside:3.6629046629046629046629046629M RR:7.4625923844923715261269827549M
TFUEL: Downside:0.3297644539614561027837259101M Upside:3.6616702355460385438972162741M RR:11.103896103896103896103896104M
ORN: Downside:0.2262931034482758620689655172M Upside:3.6476293103448275862068965517M RR:16.119047619047619047619047619M
YLD: Downside:0.1433097339410985032166294895M Upside:3.6374422138169592344745094236M RR:25.381682833295736521542973156M
UMA: Downside:0.2813102119460500963391136802M Upside:3.6266859344894026974951830443M RR:12.892123287671232876712328767M
BOND: Downside:0.5039386842665531190121354056M Upside:3.6095380029806259314456035768M RR:7.1626531474440219687367976341M
APL: Downside:0.2524349035976942953687139734M Upside:3.6074339097594911548399920493M RR:14.290551181102362204724409449M
NFT: Downside:0.1312934027777777777777777778M Upside:3.6028645833333333333333333333M RR:27.441322314049586776859504132M
SYS: Downside:0.3599221789883268482490272374M Upside:3.5998702983138780804150453956M RR:10.001801801801801801801801802M
ACH: Downside:0.2988826815642458100558659218M Upside:3.5968342644320297951582867784M RR:12.034267912772585669781931464M
BURGER: Downside:0.502170767004341534008683068M Upside:3.5832127351664254703328509407M RR:7.135446685878962536023054755M
ENJ: Downside:0.4212195121951219512195121951M Upside:3.5829268292682926829268292683M RR:8.506079907353792704111175449M
CREAM: Downside:0.5182079353987110800527991304M Upside:3.5734917307244351269508502213M RR:6.8958645489961042852861851963M
ALEPH: Downside:0.4330539463928925972932557584M Upside:3.5588911647545206649995601855M RR:8.218124310835122743891822877M
EVER: Downside:0.5520396492565764391917651544M Upside:3.5463210064811284788410217308M RR:6.4240331491712707182320441989M
USTC: Downside:0.7288990825688073394495412844M Upside:3.5412844036697247706422018349M RR:4.8584015103838892385147891756M
POND: Downside:0.2861570247933884297520661157M Upside:3.5351239669421487603305785124M RR:12.353790613718411552346570397M
BOBA: Downside:0.3145519077196095829636202307M Upside:3.5088731144631765749778172138M RR:11.155148095909732016925246827M
OOKI: Downside:0.3522167487684729064039408867M Upside:3.4926108374384236453201970443M RR:9.916083916083916083916083916M
POLS: Downside:0.212560386473429951690821256M Upside:3.4879227053140096618357487923M RR:16.409090909090909090909090909M
DAO: Downside:0.1341991341991341991341991342M Upside:3.4651959912233884836624562652M RR:25.821299160406539991162174105M
CCD: Downside:0.1398747390396659707724425887M Upside:3.4537230340988169798190675017M RR:24.691542288557213930348258706M
LPT: Downside:0.3598265895953757225433526012M Upside:3.4291907514450867052023121387M RR:9.530120481927710843373493976M
WMT: Downside:0.2997762863534675615212527964M Upside:3.4284116331096196868008948546M RR:11.436567164179104477611940299M
BADGER: Downside:0.2727272727272727272727272727M Upside:3.4230769230769230769230769231M RR:12.551282051282051282051282051M
SC: Downside:0.303125M Upside:3.40625M RR:11.237113402061855670103092784M
PNT: Downside:0.2781497261107729762629336579M Upside:3.3974437005477784540474741327M RR:12.214442013129102844638949672M
UNO: Downside:0.407212250946813765848839124M Upside:3.3800428124485427301169109172M RR:8.300444803881924787707238172M
STMX: Downside:0.3879022331633550202215579392M Upside:3.362581325830842271848074556M RR:8.668631006346328195829555757M
CHR: Downside:0.3067567567567567567567567568M Upside:3.3581081081081081081081081081M RR:10.947136563876651982378854626M
QUICK: Downside:0.2557726465364120781527531083M Upside:3.3339253996447602131438721137M RR:13.034722222222222222222222222M
AUCTION: Downside:0.2480769230769230769230769231M Upside:3.3326923076923076923076923077M RR:13.434108527131782945736434109M
ORC: Downside:0.3809993720283484345563828833M Upside:3.3150623486139768547591280165M RR:8.700965387332234518483635507M
TVK: Downside:0.275M Upside:3.3138888888888888888888888889M RR:12.050505050505050505050505051M
CTC: Downside:0.5433823529411764705882352941M Upside:3.3014705882352941176470588235M RR:6.0757780784844384303112313938M
LRC: Downside:0.3741247082360786928976325442M Upside:3.2824274758252750916972324108M RR:8.773618538324420677361853832M
APE: Downside:0.8200467878351628576570091776M Upside:3.2664387259312578729530322116M RR:3.9832345841562431424182576256M
OMG: Downside:0.3244194229415904292751583392M Upside:3.2505277973258268824771287825M RR:10.019522776572668112798264642M
TROY: Downside:0.2616318273769386378961564396M Upside:3.2447741065407956844234659474M RR:12.402061855670103092783505155M
LINA: Downside:0.3524535365690600347640058831M Upside:3.2398716405936622543120738067M RR:9.192336874051593323216995448M
PCX: Downside:0.5226274584685888867672331487M Upside:3.2390681687989306855069696391M RR:6.1976616733649981731823164048M
